id,display_name,english_name,korean_name,alias,logo,fandom
1,GOT7,GOT7,갓세븐,,image/artist_logo/got7.jpg,아가새
2,강다니엘,KANG DANIEL,강다니엘,,image/artist_logo/kangdaniel.jpg,Danity
3,권은비,KWON EUNBI,권은비,,image/artist_logo/kwoneunbi.jpg,Rubi
4,김우석,Kim Woo Seok,김우석,,image/artist_logo/kimwooseok.jpg,Nia
5,김재환,KIM JAEHWAN,김재환,,image/artist_logo/kimjaehwan.jpg,WIN
6,NEXZ,NEXZ,넥스지,,image/artist_logo/nexz.jpg,NEX2Y
7,뉴이스트,NU'EST,뉴이스트,NUEST,image/artist_logo/nuest.jpg,L.O.Λ.E
8,NewJeans,NewJeans,뉴진스,,image/artist_logo/newjeans.jpg,Bunnies
9,더보이즈,THE BOYZ,더보이즈,덥즈,image/artist_logo/theboyz.jpg,THE B
10,DAY6,DAY6,데이식스,데식,image/artist_logo/day6.jpg,My Day
11,드림캐쳐,Dreamcatcher,드림캐쳐,드캐,image/artist_logo/dreamcatcher.jpg,InSomnia
12,RIIZE,RIIZE,라이즈,,image/artist_logo/riize.jpg,BRIIZE
13,Red Velvet,Red Velvet,레드벨벳,레벨,image/artist_logo/redvelvet.jpg,Reveluv
14,LUN8,LUN8,루네이트,,image/artist_logo/lun8.jpg,LUV8
15,LE SSERAFIM,LE SSERAFIM,르세라핌,,image/artist_logo/lesserafim.jpg,FEARNOT
16,마마무,Mamamoo,마마무,,image/artist_logo/mamamoo.png,MooMoo
17,몬스타엑스,MONSTA X,몬스타엑스,몬엑,image/artist_logo/monstax.jpg,Monbebe
18,방탄소년단,BTS,방탄소년단,,image/artist_logo/bts.jpg,ARMY
19,VERIVERY,VERIVERY,베리베리,,image/artist_logo/verivery.jpg,VERRER
20,BABYMONSTER,BABYMONSTER,베이비몬스터,베몬,image/artist_logo/babymonster.jpg,MONSTIEZ
21,BOYNEXTDOOR,BOYNEXTDOOR,보이넥스트도어,보넥도,image/artist_logo/boynextdoor.jpg,ONEDOOR
22,BLACKPINK,BLACKPINK,블랙핑크,블핑,image/artist_logo/blackpink.jpg,BLINK
23,VIVIZ,VIVIZ,비비지,,image/artist_logo/viviz.jpg,Na.V
24,B1A4,B1A4,비원에이포,비포,image/artist_logo/b1a4.jpg,BANA
25,비투비,BTOB,비투비,,image/artist_logo/btob.jpg,Melody
26,Billlie,Billlie,빌리,,image/artist_logo/billlie.jpg,Belllie've
27,SHINee,SHINee,샤이니,,image/artist_logo/shinee.jpg,Shawol
28,세븐틴,SEVENTEEN,세븐틴,셉,image/artist_logo/seventeen.jpg,Carat
29,SAY MY NAME,SAY MY NAME,세이마이네임,세마넴,image/artist_logo/saymyname.jpg,LOVvmE
30,소녀시대,GIRLS' GENERATION,소녀시대,소시,image/artist_logo/girlsgeneration.png,S♡NE
31,SUPER JUNIOR,SUPER JUNIOR,슈퍼주니어,슈주,image/artist_logo/superjunior.png,E.L.F
32,STAYC,STAYC,스테이씨,,image/artist_logo/stayc.jpg,SWITH
33,Stray Kids,Stray Kids,스트레이키즈,스키즈,image/artist_logo/straykids.jpg,STAY
34,xikers,xikers,싸이커스,,image/artist_logo/xikers.jpg,ROOKIES
35,CIX,CIX,씨아이엑스,씨아엑,image/artist_logo/cix.jpg,FIX
36,ASTRO,ASTRO,아스트로,,image/artist_logo/astro.jpg,AROHA
