id,artist_name,member_name,member_bday
1,GOT7,제이비,01-06
2,GOT7,마크,09-04
3,GOT7,잭슨,03-28
4,GOT7,박진영,09-22
5,GOT7,영재,09-17
6,GOT7,뱀뱀,05-02
7,GOT7,유겸,11-17
8,강다니엘,강다니엘,12-10
9,권은비,권은비,09-27
10,김우석,김우석,10-27
11,김재환,김재환,05-27
12,NEXZ,토모야,01-19
13,NEXZ,유우,04-27
14,NEXZ,하루,01-23
15,NEXZ,소건,09-13
16,NEXZ,세이타,11-28
17,NEXZ,휴이,05-11
18,NEXZ,유키,09-20
19,뉴이스트,JR,06-08
20,뉴이스트,아론,05-21
21,뉴이스트,백호,07-09
22,뉴이스트,민현,08-09
23,뉴이스트,렌,11-03
24,NewJeans,민지,05-07
25,NewJeans,하니,10-06
26,NewJeans,다니엘,04-11
27,NewJeans,해린,05-15
28,NewJeans,혜인,04-21
29,더보이즈,상연,11-04
30,더보이즈,제이콥,05-30
31,더보이즈,영훈,08-08
32,더보이즈,현재,09-13
33,더보이즈,주연,01-15
34,더보이즈,케빈,01-12
35,더보이즈,뉴,04-26
36,더보이즈,큐,11-05
37,더보이즈,주학년,03-09
38,더보이즈,선우,04-12
39,더보이즈,에릭,02-16
40,DAY6,성진,01-16
41,DAY6,영케이,12-19
42,DAY6,원필,04-28
43,DAY6,도운,08-25
44,드림캐쳐,지유,05-17
45,드림캐쳐,수아,08-10
46,드림캐쳐,시연,05-16
47,드림캐쳐,유현,01-07
48,드림캐쳐,다미,03-07
49,드림캐쳐,한동,03-26
50,드림캐쳐,가현,02-01
51,RIIZE,쇼타로,11-25
52,RIIZE,은석,03-19
53,RIIZE,성찬,09-13
54,RIIZE,원빈,01-02
55,RIIZE,소희,11-21
56,RIIZE,앤톤,03-21
57,Red Velvet,웬디,02-21
58,Red Velvet,아이린,03-29
59,Red Velvet,슬기,02-08
60,Red Velvet,조이,09-03
61,Red Velvet,예리,03-05
62,LUN8,진수,02-05
63,LUN8,카엘,01-01
64,LUN8,타쿠마,08-05
65,LUN8,준우,09-21
66,LUN8,도현,01-08
67,LUN8,이안,04-03
68,LUN8,지은호,05-21
69,LUN8,유우마,02-28
70,LE SSERAFIM,김채원,05-02
71,LE SSERAFIM,사쿠라,03-19
72,LE SSERAFIM,허윤진,10-08
73,LE SSERAFIM,카즈하,08-09
74,LE SSERAFIM,홍은채,11-10
75,마마무,솔라,02-21
