artist_display_name,member_name,member_bday
GOT7,JAY B,
GOT7,마크,09-04
GOT7,잭슨,03-28
GOT7,박진영,
GOT7,영재,09-17
GOT7,뱀뱀,05-02
GOT7,유겸,11-17
NEXZ,토모야,
NEXZ,유우,
NEXZ,하루,
NEXZ,소,
NEXZ,건,
NEXZ,세이타,11-28
NEXZ,휴이,05-11
NEXZ,유키,09-20
뉴이스트,JR,
뉴이스트,아론,
뉴이스트,백호,
뉴이스트,민현,
뉴이스트,렌,
NewJeans,민지,03-31
NewJeans,하니,10-06
NewJeans,다니엘,04-11
NewJeans,해린,05-15
NewJeans,혜인,04-21
더보이즈,상연,11-04
더보이즈,제이콥,05-30
더보이즈,영훈,08-08
더보이즈,현재,09-13
더보이즈,주연,01-01
더보이즈,케빈,01-01
더보이즈,뉴,04-26
더보이즈,큐,11-05
더보이즈,주학년,03-09
더보이즈,선우,04-12
더보이즈,에릭,02-16
DAY6,성진,01-01
DAY6,Young K,
DAY6,원필,04-28
DAY6,도운,08-25
드림캐쳐,지유,05-17
드림캐쳐,수아,07-01
드림캐쳐,시연,10-01
드림캐쳐,유현,01-01
드림캐쳐,다미,03-07
드림캐쳐,한동,03-26
드림캐쳐,가현,02-01
RIIZE,쇼타로,11-25
RIIZE,은석,03-19
RIIZE,성찬,09-13
RIIZE,원빈,
RIIZE,소희,11-21
RIIZE,앤톤,03-21
Red Velvet,웬디,02-21
Red Velvet,아이린,03-29
Red Velvet,슬기,02-08
Red Velvet,조이,09-03
Red Velvet,예리,03-05
LUN8,진수,02-05
LUN8,카엘,01-01
LUN8,타쿠마,08-05
LUN8,준우,09-21
LUN8,도현,
LUN8,이안,
LUN8,지은호,05-21
LUN8,유우마,
LE SSERAFIM,김채원,08-01
LE SSERAFIM,사쿠라,03-19
LE SSERAFIM,허윤진,10-08
LE SSERAFIM,카즈하,08-09
LE SSERAFIM,홍은채,11-10
마마무,솔라,02-21
마마무,문별,12-22
마마무,휘인,04-17
마마무,화사,07-01
몬스타엑스,셔누,06-18
몬스타엑스,민혁,11-03
몬스타엑스,기현,11-22
몬스타엑스,형원,01-01
몬스타엑스,주헌,10-06
몬스타엑스,아이엠,01-01
방탄소년단,RM,09-12
방탄소년단,진,12-04
방탄소년단,슈가,03-09
방탄소년단,제이홉,02-18
방탄소년단,지민,10-13
방탄소년단,뷔,12-30
방탄소년단,정국,09-01
VERIVERY,동헌,08-04
VERIVERY,호영,08-10
VERIVERY,민찬,09-16
VERIVERY,계현,05-14
VERIVERY,연호,05-31
VERIVERY,용승,06-17
VERIVERY,강민,01-01
BABYMONSTER,루카,03-20
BABYMONSTER,파리타,08-26
BABYMONSTER,아사,04-17
BABYMONSTER,아현,04-11
BABYMONSTER,라미,10-17
BABYMONSTER,로라,08-14
BABYMONSTER,치키타,02-17
BOYNEXTDOOR,성호,09-04
BOYNEXTDOOR,명재현,12-04
BOYNEXTDOOR,태산,08-10
BOYNEXTDOOR,이한,10-20
BOYNEXTDOOR,운학,11-29
BLACKPINK,지수,01-01
BLACKPINK,제니,01-01
BLACKPINK,로제,02-11
BLACKPINK,리사,03-27
VIVIZ,은하,05-30
VIVIZ,신비,06-03
VIVIZ,엄지,08-19
B1A4,신우,06-16
B1A4,산들,03-20
B1A4,공찬,08-14
비투비,서은광,11-22
비투비,이민혁,11-29
비투비,이창섭,02-26
비투비,임현식,03-07
비투비,프니엘,03-10
비투비,육성재,05-02
Billlie,시윤,02-16
Billlie,션,
Billlie,츠키,09-21
Billlie,문수아,09-09
Billlie,하람,
Billlie,수현,
Billlie,하루나,
SHINee,온유,12-14
SHINee,종현,04-08
SHINee,Key,09-23
SHINee,민호,
SHINee,태민,07-01
세븐틴,에스쿱스,08-08
세븐틴,정한,10-04
세븐틴,조슈아,12-30
세븐틴,준,06-02
세븐틴,호시,06-15
세븐틴,원우,07-01
세븐틴,우지,11-22
세븐틴,디에잇,11-07
세븐틴,민규,04-06
세븐틴,도겸,02-18
세븐틴,승관,01-01
세븐틴,버논,02-18
세븐틴,디노,02-11
SAY MY NAME,히토미,
SAY MY NAME,메이,08-19
SAY MY NAME,카니,12-26
SAY MY NAME,도희,08-01
SAY MY NAME,준희,
SAY MY NAME,소하,
SAY MY NAME,승주,
소녀시대,태연,03-09
소녀시대,써니,05-15
소녀시대,티파니,
소녀시대,효연,09-22
소녀시대,유리,12-05
소녀시대,수영,02-08
소녀시대,윤아,05-30
소녀시대,서현,06-28
SUPER JUNIOR,이특,07-01
SUPER JUNIOR,희철,07-01
SUPER JUNIOR,예성,08-24
SUPER JUNIOR,신동,09-28
SUPER JUNIOR,은혁,04-04
SUPER JUNIOR,동해,10-15
SUPER JUNIOR,시원,02-08
SUPER JUNIOR,려욱,06-21
SUPER JUNIOR,규현,02-01
SUPER JUNIOR,성민,
STAYC,수민,03-13
STAYC,시은,08-01
STAYC,아이사,01-01
STAYC,세은,06-14
STAYC,윤,04-14
STAYC,재이,12-09
Stray Kids,방찬,10-03
Stray Kids,리노,10-25
Stray Kids,창빈,08-11
Stray Kids,현진,03-20
Stray Kids,한,09-14
Stray Kids,필릭스,09-15
Stray Kids,승민,09-22
Stray Kids,아이엔,02-08
xikers,민재,08-23
xikers,준민,
xikers,수민,
xikers,진식,
xikers,현우,
xikers,정훈,02-14
xikers,세은,
xikers,유준,12-22
xikers,헌터,
xikers,예찬,
CIX,BX,03-05
CIX,승훈,02-26
CIX,용희,02-17
CIX,현석,09-08
ASTRO,차은우,03-30
ASTRO,문빈,01-01
ASTRO,MJ,03-05
ASTRO,진진,03-15
ASTRO,윤산하,03-21
i-dle,미연,01-01
i-dle,민니,10-23
i-dle,소연,08-26
i-dle,우기,09-23
i-dle,슈화,01-01
IVE,안유진,09-01
IVE,가을,09-24
IVE,레이,02-01
IVE,장원영,08-31
IVE,리즈,11-21
IVE,이서,02-21
iKON,김진환,02-07
iKON,BOBBY,12-21
iKON,송윤형,02-08
iKON,구준회,
iKON,DK,
iKON,정찬우,01-01
아일릿,윤아,
아일릿,민주,05-11
아일릿,모카,10-08
아일릿,원희,06-26
아일릿,이로하,
&TEAM,의주,09-07
&TEAM,후마,06-29
&TEAM,케이,10-21
&TEAM,니콜라스,07-01
&TEAM,유마,02-07
&TEAM,조,
&TEAM,하루아,05-01
&TEAM,타키,05-04
&TEAM,마키,02-17
앰퍼샌드원,나캠든,
앰퍼샌드원,브라이언,
앰퍼샌드원,최지호,
앰퍼샌드원,윤시윤,
앰퍼샌드원,카이렐,
앰퍼샌드원,마카야,
앰퍼샌드원,김승모,
SF9,영빈,11-23
SF9,인성,07-01
SF9,재윤,08-09
SF9,다원,07-01
SF9,주호,07-01
SF9,유태양,02-28
SF9,휘영,05-11
SF9,찬희,01-01
aespa,카리나,04-11
aespa,윈터,01-01
aespa,지젤,10-30
aespa,닝닝,10-23
AB6IX,전웅,10-15
AB6IX,김동현,02-23
AB6IX,박우진,11-02
AB6IX,이대휘,01-01
ATBO,오준석,
ATBO,류준민,
ATBO,배현준,
ATBO,정승환,
ATBO,김연규,
ATBO,원빈,
ATEEZ,홍중,11-07
ATEEZ,성화,04-03
ATEEZ,윤호,03-23
ATEEZ,여상,06-15
ATEEZ,산,07-01
ATEEZ,민기,08-09
ATEEZ,우영,11-26
ATEEZ,종호,10-12
82MAJOR,남성모,
82MAJOR,박석준,
82MAJOR,윤예찬,
82MAJOR,조성일,
82MAJOR,황성빈,
82MAJOR,김도균,
Apink,박초롱,03-03
Apink,윤보미,08-13
Apink,정은지,08-18
Apink,김남주,04-15
Apink,오하영,07-01
8TURN,재윤,
8TURN,명호,
8TURN,민호,
8TURN,윤성,11-13
8TURN,혜민,
8TURN,경민,
8TURN,윤규,
8TURN,승헌,
EXO,수호,05-22
EXO,찬열,11-27
EXO,카이,01-01
EXO,디오,01-01
EXO,백현,05-06
EXO,세훈,04-12
EXO,시우민,03-26
EXO,첸,09-21
EXO,레이,10-07
Xdinary Heroses,건일,07-01
Xdinary Heroses,정수,06-26
Xdinary Heroses,가온,01-01
Xdinary Heroses,O.de,06-11
Xdinary Heroses,Jun Han,
Xdinary Heroses,주연,
NMIXX,릴리,10-17
NMIXX,해원,02-25
NMIXX,설윤,01-01
NMIXX,배이,12-28
NMIXX,지우,04-13
NMIXX,규진,05-26
NCT,쟈니,02-08
NCT,태용,07-01
NCT,유타,10-26
NCT,도영,02-01
NCT,텐,02-27
NCT,재현,02-14
NCT,윈윈,10-28
NCT,마크,08-02
NCT,런쥔,03-23
NCT,제노,04-23
NCT,해찬,06-06
NCT,재민,08-13
NCT,천러,11-22
NCT,지성,02-05
NCT,정우,02-19
NCT,쿤,01-01
NCT,샤오쥔,08-08
NCT,양양,10-10
NCT,헨드리,09-28
NCT,시온,05-11
NCT,유우시,04-05
NCT,리쿠,06-28
NCT,사쿠야,11-18
NCT,료,08-04
NCT,재희,06-21
NCT 127,쟈니,
NCT 127,태용,
NCT 127,유타,
NCT 127,도영,
NCT 127,재현,
NCT 127,윈윈,
NCT 127,마크,
NCT 127,해찬,
NCT 127,정우,
NCT DREAM,마크,
NCT DREAM,런쥔,
NCT DREAM,제노,
NCT DREAM,해찬,
NCT DREAM,재민,
NCT DREAM,천러,
NCT DREAM,지성,
NCT WISH,시온,
NCT WISH,유우시,
NCT WISH,리쿠,
NCT WISH,사쿠야,
NCT WISH,료,
NCT WISH,재희,
엔플라잉,이승협,
엔플라잉,차훈,
엔플라잉,김재현,
엔플라잉,유회승,
엔플라잉,서동성,
엔하이픈,정원,02-08
엔하이픈,희승,10-15
엔하이픈,제이,04-20
엔하이픈,제이크,11-15
엔하이픈,성훈,12-08
엔하이픈,선우,
엔하이픈,니키,12-09
여자친구,소원,
여자친구,예린,
여자친구,은하,
여자친구,유주,03-05
여자친구,신비,
여자친구,엄지,
오마이걸,효정,07-01
오마이걸,미미,05-01
오마이걸,유아,09-17
오마이걸,승희,01-01
오마이걸,유빈,09-09
오마이걸,아린,06-18
OnlyOneOf,나인,
OnlyOneOf,Mill,
OnlyOneOf,리에,
OnlyOneOf,준지,04-06
OnlyOneOf,유정,
OnlyOneOf,규빈,04-23
온앤오프,효진,04-22
온앤오프,이션,12-24
