id,display_name,fandom
1,GOT7,아가새
2,강다니엘,Danity
3,권은비,Rubi
4,김우석,Nia
5,김재환,WIN
6,NEXZ,NEX2Y
7,뉴이스트,L.O.Λ.E
8,NewJeans,Bunnies
9,더보이즈,THE B
10,DAY6,My Day
11,드림캐쳐,InSomnia
12,RIIZE,BRIIZE
13,Red Velvet,Reveluv
14,LUN8,LUV8
15,LE SSERAFIM,FEARNOT
16,마마무,MooMoo
17,몬스타엑스,Monbebe
18,방탄소년단,ARMY
19,VERIVERY,VERRER
20,BABYMONSTER,MONSTIEZ
21,BOYNEXTDOOR,ONEDOOR
22,BLACKPINK,BLINK
23,VIVIZ,Na.V
24,B1A4,BANA
25,비투비,Melody
26,Billlie,Belllie've
27,SHINee,Shawol
28,세븐틴,Carat
29,SAY MY NAME,LOVvmE
30,소녀시대,S♡NE
31,SUPER JUNIOR,E.L.F
32,STAYC,SWITH
33,Stray Kids,STAY
34,xikers,ROOKIES
35,CIX,FIX
36,ASTRO,AROHA
37,i-dle,Neverland
38,IVE,DIVE
39,아이유,Uaena
40,iKON,iKONIC
41,아일릿,GLLIT
42,&TEAM,LUNÉ
43,앰퍼샌드원,Andear
44,SF9,Fantasy
45,aespa,MY
46,AB6IX,ABNEW
47,ATBO,BOAT
48,ATEEZ,ATINY
49,82MAJOR,82DE
50,Apink,Panda
51,8TURN,TURNING
52,EXO,EXO-L
53,Xdinary Heroses,Villains
54,NMIXX,NSWER
55,NCT,NCTzen
56,NCT 127,NCTzen
57,NCT DREAM,NCTzen
58,NCT WISH,NCTzen
59,엔플라잉,N.Fia
60,엔하이픈,ENGENE
61,여자친구,Buddy
62,오마이걸,Miracle
63,OnlyOneOf,lyOn
64,온앤오프,Fuse
65,WOOAH,WOW
66,우주소녀,Ujung
67,WOODZ,Moodz
68,원어스,TO MOON
69,ONE PACT,&♥
70,WINNER,Inner Circle
71,위아이,RUi
72,YOUNITE,YOUNIZ
73,UNIS,EverAfter
74,EVNNE,ENNVE
75,izna,Naya
76,이채연,Chaerish
77,EPEX,ZENITH
78,인피니트,Inspirit
79,ITZY,MIDZY
80,ZEROBASEONE,ZEROSE
81,조유리,GLASSY
82,G-DRAGON,VIP
83,YENA,JIGUMI
84,Kep1er,Kep1ian
85,CRAVITY,LUVITY
86,CLASS:y,CLIKE
87,KISS OF LIFE,KISSY
88,KiiiKiii,TiiiKiii
89,KickFlip,-
90,TEMPEST,iE
91,투모로우바이투게더,MOA
92,TWS,42
93,TREASURE,Treasure Maker
94,TWICE,ONCE
95,FANTASY BOYS,Bandi
96,펜타곤,UNIVERSE
97,프로미스나인,Flover
98,PLAVE,PLLI
99,P1Harmony,P1ece
100,하성운,HA
101,하이라이트,Light
102,H1-KEY,M1-KEY
103,Hearts2Hearts,S2U
