id,artist_name,member_name,member_bday
1,GOT7,JAY B,01-06
2,GOT7,마크,09-04
3,GOT7,잭슨,03-28
4,GOT7,박진영,09-22
5,GOT7,영재,09-17
6,GOT7,뱀뱀,05-02
7,GOT7,유겸,11-17
8,강다니엘,강다니엘,12-10
9,권은비,권은비,09-27
10,김우석,김우석,10-27
11,김재환,김재환,05-27
12,NEXZ,토모야,01-19
13,NEXZ,유우,04-27
14,NEXZ,하루,01-23
15,NEXZ,소건,09-13
16,NEXZ,건,09-13
17,NEXZ,세이타,11-28
18,NEXZ,휴이,05-11
19,NEXZ,유키,09-20
20,뉴이스트,JR,06-08
21,뉴이스트,아론,05-21
22,뉴이스트,백호,07-09
23,뉴이스트,민현,08-09
24,뉴이스트,렌,11-03
25,NewJeans,민지,03-31
26,NewJeans,하니,10-06
27,NewJeans,다니엘,04-11
28,NewJeans,해린,05-15
29,NewJeans,혜인,04-21
30,더보이즈,상연,11-04
31,더보이즈,제이콥,05-30
32,더보이즈,영훈,08-08
33,더보이즈,현재,09-13
34,더보이즈,주연,01-15
35,더보이즈,케빈,01-12
36,더보이즈,뉴,04-26
37,더보이즈,큐,11-05
38,더보이즈,주학년,03-09
39,더보이즈,선우,04-12
40,더보이즈,에릭,02-16
41,DAY6,성진,01-16
42,DAY6,Young K,12-19
43,DAY6,원필,04-28
44,DAY6,도운,08-25
45,드림캐쳐,지유,05-17
46,드림캐쳐,수아,07-01
47,드림캐쳐,시연,05-16
48,드림캐쳐,유현,01-07
49,드림캐쳐,다미,03-07
50,드림캐쳐,한동,03-26
51,드림캐쳐,가현,02-01
52,RIIZE,쇼타로,11-25
53,RIIZE,은석,03-19
54,RIIZE,성찬,09-13
55,RIIZE,원빈,01-02
56,RIIZE,소희,11-21
57,RIIZE,앤톤,03-21
58,Red Velvet,웬디,02-21
59,Red Velvet,아이린,03-29
60,Red Velvet,슬기,02-08
61,Red Velvet,조이,09-03
62,Red Velvet,예리,03-05
63,LUN8,진수,02-05
64,LUN8,카엘,01-01
65,LUN8,타쿠마,08-05
66,LUN8,준우,09-21
67,LUN8,도현,01-08
68,LUN8,이안,04-03
69,LUN8,지은호,05-21
70,LUN8,유우마,02-28
71,LE SSERAFIM,김채원,05-02
72,LE SSERAFIM,사쿠라,03-19
73,LE SSERAFIM,허윤진,10-08
74,LE SSERAFIM,카즈하,08-09
75,LE SSERAFIM,홍은채,11-10
76,마마무,솔라,02-21
77,마마무,문별,12-22
78,마마무,휘인,04-17
79,마마무,화사,07-01
80,몬스타엑스,셔누,06-18
81,몬스타엑스,민혁,11-03
82,몬스타엑스,기현,11-22
83,몬스타엑스,형원,01-15
84,몬스타엑스,주헌,10-06
85,몬스타엑스,아이엠,01-26
86,방탄소년단,RM,09-12
87,방탄소년단,진,12-04
88,방탄소년단,슈가,03-09
89,방탄소년단,제이홉,02-18
90,방탄소년단,지민,10-13
91,방탄소년단,뷔,12-30
92,방탄소년단,정국,09-01
93,VERIVERY,동헌,08-04
94,VERIVERY,호영,08-10
95,VERIVERY,민찬,09-16
96,VERIVERY,계현,05-14
97,VERIVERY,연호,05-31
98,VERIVERY,용승,06-17
99,VERIVERY,강민,01-25
100,BABYMONSTER,루카,03-20
101,BABYMONSTER,파리타,08-26
102,BABYMONSTER,아사,04-17
103,BABYMONSTER,아현,04-11
104,BABYMONSTER,라미,10-17
105,BABYMONSTER,로라,08-14
106,BABYMONSTER,치키타,02-17
107,BOYNEXTDOOR,성호,09-04
108,BOYNEXTDOOR,리우,10-22
109,BOYNEXTDOOR,명재현,12-04
110,BOYNEXTDOOR,태산,08-10
111,BOYNEXTDOOR,이한,10-20
112,BOYNEXTDOOR,운학,11-29
113,BLACKPINK,지수,01-03
114,BLACKPINK,제니,01-16
115,BLACKPINK,로제,02-11
116,BLACKPINK,리사,03-27
117,VIVIZ,은하,05-30
118,VIVIZ,신비,06-03
119,VIVIZ,엄지,08-19
120,B1A4,신우,06-16
121,B1A4,산들,03-20
122,B1A4,공찬,08-14
123,비투비,서은광,11-22
124,비투비,이민혁,11-29
125,비투비,이창섭,02-26
126,비투비,임현식,03-07
127,비투비,프니엘,03-10
128,비투비,육성재,05-02
129,Billlie,시윤,02-16
130,Billlie,션,01-28
131,Billlie,츠키,09-21
132,Billlie,문수아,09-09
133,Billlie,하람,01-13
134,Billlie,수현,01-15
135,Billlie,하루나,01-30
136,SHINee,온유,12-14
137,SHINee,종현,04-08
138,SHINee,Key,09-23
139,SHINee,민호,12-09
140,SHINee,태민,07-01
141,세븐틴,에스쿱스,08-08
142,세븐틴,정한,10-04
143,세븐틴,조슈아,12-30
144,세븐틴,준,06-02
145,세븐틴,호시,06-15
